id|name|category|variation|rarity|mit|powersW|powersSh|powersS|powersAny|epBonus|desc
p-ion-v4|Ion Bomb|Weapon|V4|uncommon|||||||No damage. Target reduced to 0 power immediately, and half power (round up) next round. Single-use. Can't snap shot. Can't be repaired.
p-lc-tlc-v4|Laser Cannon TLC|Weapon|V4|uncommon|||||||Normal damage.
p-lt-tlc-v4|Laser Turret TLC|Weapon|V4|uncommon|||||||Can only Snap Shot. Can shoot Tailing ships.
p-arm-v1|Armor|Shield/Armor|V1|uncommon|2||||||Does not take Power. Mitigation 2. Standard degradation.
p-arm-v2|Armor|Shield/Armor|V2|uncommon|2||||||Does not take Power. Mitigation 2. Standard degradation.
p-arm-ex-v2|Armor Ex|Shield/Armor|V2|uncommon|2||||||Does not take Power. Mitigation 2. Standard degradation.
p-arm-v4|Armor|Shield/Armor|V4|uncommon|2||||||Does not take Power. Mitigation 2. Standard degradation.
p-arm-ex-v4|Armor Ex|Shield/Armor|V4|uncommon|2||||||Does not take Power. Mitigation 2. Standard degradation.
p-shi-v1|Shields|Shield/Armor|V1|uncommon|2||||||Mitigation 2. Regenerates 1 at the end of each round.
p-shi-v2|Shields|Shield/Armor|V2|uncommon|2||||||Mitigation 2. Regenerates 1 at the end of each round.
p-shi-ex-v2|Shields Ex|Shield/Armor|V2|uncommon|2||||||Mitigation 2. Regenerates 1 at the end of each round.
p-shi-v4|Shields|Shield/Armor|V4|uncommon|2||||||Mitigation 2. Regenerates 1 at the end of each round.
p-shi-ex-v4|Shields Ex|Shield/Armor|V4|uncommon|2||||||Mitigation 2. Regenerates 1 at the end of each round.
p-se-v1|Standard Engine|Engine|V1|uncommon||2|0|1||1|
p-se-ae-v1|Standard Engine Ae|Engine|V1|uncommon||2|1|0||1|
p-se-v2|Standard Engine|Engine|V2|uncommon||2|1|1||1|
p-se-ae-v2|Standard Engine Ae|Engine|V2|uncommon||2|2|0||1|
p-se-ex-v2|Standard Engine Ex|Engine|V2|uncommon||2|1|1||1|
p-se-aeex-v2|Standard Engine AeEx|Engine|V2|uncommon||2|2|0||1|
p-seae-v4|Standard Engine  Ae|Engine|V4|uncommon||2|2|1||1|
p-se-v4|Standard Engine|Engine|V4|uncommon||2|1|2||1|
p-se-aeex-v4|Standard Engine AeEx|Engine|V4|uncommon||2|2|1||1|
p-se-ex-v4|Standard Engine Ex|Engine|V4|uncommon||2|1|2||1|
p-ami-v1|Astromech Interface|System|V1|uncommon|||||||Re-roll one failed Efficiency Test/round.
p-ami-v2|Astromech Interface|System|V2|uncommon|||||||Re-roll one failed Efficiency Test/round.
p-ami-v4|Astromech Interface|System|V4|uncommon|||||||Re-roll one failed Efficiency Test/round.
p-ic-v1|Inertial Compensator|System|V1|uncommon|||||||Passive. Response while Tailed +1 quality.
p-ic-v2|Inertial Compensator|System|V2|uncommon|||||||Passive. Response while Tailed +1 quality.
p-ic-v4|Inertial Compensator|System|V4|uncommon|||||||Passive. Response while Tailed +1 quality.
p-sa-v1|Sensor Array|System|V1|uncommon|||||||Passive. Reveals enemy EP above/below 3 each round.
p-sa-v2|Sensor Array|System|V2|uncommon|||||||Passive. Reveals enemy EP above/below 3 each round.
p-sa-v4|Sensor Array|System|V4|uncommon|||||||Passive. Reveals enemy EP above/below 3 each round.
p-sc-v1|Shield Capacitor|System|V1|uncommon|||||||Once/match: restore Shields from Weakened.
p-sc-v2|Shield Capacitor|System|V2|uncommon|||||||Once/match: restore Shields from Weakened.
p-sc-v4|Shield Capacitor|System|V4|uncommon|||||||Once/match: restore Shields from Weakened.
p-tp-v1|Target Painter|System|V1|uncommon|||||||All attacks vs one enemy +1 quality this round.
p-tp-v2|Target Painter|System|V2|uncommon|||||||All attacks vs one enemy +1 quality this round.
p-tp-v4|Target Painter|System|V4|uncommon|||||||All attacks vs one enemy +1 quality this round.
p-tri-c-v1|Tri-Linked Laser Cannon|Weapon|V1|veryRare|||||||Quality +1 step damage.
p-tri-t-v1|Tri-Linked Laser Turret|Weapon|V1|veryRare|||||||Quality +1 step damage. Can only Snap Shot. Can shoot Tailing ships.
p-dlpt-v1|Dual Launch Photon Torpedo|Weapon|V1|veryRare|||||||Two attacks. Quality +3 damage. Single-use. Can't snap shot. Can't be repaired.
p-tur-l-c-v2|Turbolaser Cannon|Weapon|V2|veryRare|||||||Quality +1 step damage.
p-tur-l-t-v2|Turbolaser Turret|Weapon|V2|veryRare|||||||Quality +1 step damage. Can only Snap Shot. Can shoot Tailing ships.
p-dlpt-v2|Dual Launch Photon Torpedo|Weapon|V2|veryRare|||||||Two attacks. Quality +3 damage. Single-use. Can't snap shot. Can't be repaired.
p-tur-l-c-tlc-v2|Turbolaser Cannon TLC|Weapon|V2|veryRare|||||||Quality +1 step damage.
p-tur-l-t-tlc-v2|Turbolaser Turret TLC|Weapon|V2|veryRare|||||||Quality +1 step damage. Can only Snap Shot. Can shoot Tailing ships.
p-tur-l-c-v4|Turbolaser Cannon|Weapon|V4|veryRare|||||||Quality +1 step damage.
p-tur-l-t-v4|Turbolaser Turret|Weapon|V4|veryRare|||||||Quality +1 step damage. Can only Snap Shot. Can shoot Tailing ships.
p-dlpt-v4|Dual Launch Photon Torpedo|Weapon|V4|veryRare|||||||Two attacks. Quality +3 damage. Single-use. Can't snap shot. Can't be repaired.
p-tur-l-c-tlc-v4|Turbolaser Cannon TLC|Weapon|V4|veryRare|||||||Quality +1 step damage.
p-tur-l-t-tlc-v4|Turbolaser Turret TLC|Weapon|V4|veryRare|||||||Quality +1 step damage. Can only Snap Shot. Can shoot Tailing ships.
p-cras-v1|Chromium A&S|Shield/Armor|V1|veryRare|4||||||Mitigation 4. Regenerates 2 at the end of each round.
p-cras-v2|Chromium A&S|Shield/Armor|V2|veryRare|4||||||Mitigation 4. Regenerates 2 at the end of each round.
p-cras-ex-v2|Chromium A&S Ex|Shield/Armor|V2|veryRare|4||||||Mitigation 4. Regenerates 2 at the end of each round.
p-cras-v4|Chromium A&S|Shield/Armor|V4|veryRare|4||||||Mitigation 4. Regenerates 2 at the end of each round.
p-cras-ex-v4|Chromium A&S Ex|Shield/Armor|V4|veryRare|4||||||Mitigation 4. Regenerates 2 at the end of each round.
p-me-v1|Military Engine|Engine|V1|veryRare|||||6||
p-me-v2|Military Engine|Engine|V2|veryRare|||||6||
p-me-ex-v2|Military Engine Ex|Engine|V2|veryRare|||||6||
p-me-v4|Military Engine|Engine|V4|veryRare|||||6||
p-me-ex-v4|Military Engine Ex|Engine|V4|veryRare|||||6||
p-am-v1|Astromech|System|V1|veryRare|||||||Grant auto-success to compatible systems.
p-am-v3|Astromech|System|V3|veryRare|||||||Grant auto-success to compatible systems.
p-am-v5|Astromech|System|V5|veryRare|||||||Grant auto-success to compatible systems.
p-epr-v1|Emergency Power Reroute|System|V1|veryRare|||||||Once/match: survive one extra round before Dead in Water.
p-epr-v3|Emergency Power Reroute|System|V3|veryRare|||||||Once/match: survive one extra round before Dead in Water.
p-epr-v5|Emergency Power Reroute|System|V5|veryRare|||||||Once/match: survive one extra round before Dead in Water.
p-pfc-v1|Predictive Flight Comp.|System|V1|veryRare|||||||See one enemy maneuver before yours is chosen.
p-pfc-v3|Predictive Flight Comp.|System|V3|veryRare|||||||See one enemy maneuver before yours is chosen.
p-pfc-v5|Predictive Flight Comp.|System|V5|veryRare|||||||See one enemy maneuver before yours is chosen.
p-sfp-v1|Stealth Field Projector|System|V1|veryRare|||||||Costs 2 EP. OOP snap shots fail this round.
p-sfp-v3|Stealth Field Projector|System|V3|veryRare|||||||Costs 2 EP. OOP snap shots fail this round.
p-sfp-v5|Stealth Field Projector|System|V5|veryRare|||||||Costs 2 EP. OOP snap shots fail this round.
